zipcode,state,income,cbsa_income,state_income,latitude,longitude
44735,OH,1000000,73886,79470,40.81,-81.37
44750,OH,1000000,73886,79470,40.81,-81.37
44767,OH,1000000,73886,79470,40.81,-81.37
44799,OH,1000000,73886,79470,40.81,-81.37
44802,OH,71302,79983,79470,41.04,-83.39
44804,OH,86071,79983,79470,41.11,-83.51
44805,OH,72038,71410,79470,40.86,-82.31
44807,OH,78750,70241,79470,41.06,-82.88
44809,OH,1000000,68398,79470,41.13,-83.29
44811,OH,73485,74900,79470,41.27,-82.84
44813,OH,79954,89663,79470,40.62,-82.51
44814,OH,93125,74900,79470,41.32,-82.49
44815,OH,81719,68398,79470,41.24,-83.23
44816,OH,1000000,74900,79470,41.33,-82.35
44817,OH,75000,79983,79470,41.17,-83.55
44818,OH,66888,68398,79470,41.05,-83.01
44820,OH,62517,61498,79470,40.8,-82.97
44822,OH,61848,73861,79470,40.58,-82.42
44824,OH,75579,74900,79470,41.4,-82.8
44825,OH,48929,61498,79470,40.95,-82.94
44826,OH,64711,74900,79470,41.22,-82.47
44827,OH,65000,68184,79470,40.78,-82.73
44828,OH,1000000,68398,79470,41.23,-82.86
44830,OH,66659,79983,79470,41.15,-83.41
44833,OH,60449,89663,79470,40.73,-82.79
44836,OH,71779,73582,79470,41.25,-83.05
44837,OH,70472,71410,79470,41.03,-82.51
44838,OH,70250,71410,79470,40.77,-82.26
44839,OH,81458,74900,79470,41.39,-82.56
44840,OH,71250,77156,79470,40.8,-82.19
44841,OH,63750,73582,79470,41.25,-83.31
44842,OH,67303,73861,79470,40.63,-82.23
44843,OH,71599,71410,79470,40.7,-82.42
44844,OH,84583,68398,79470,40.96,-83.26
44845,OH,1000000,68398,79470,41.02,-83.13
44846,OH,83547,74900,79470,41.32,-82.61
44847,OH,82790,74900,79470,41.24,-82.7
44848,OH,1000000,71410,79470,40.92,-82.26
44849,OH,71750,65508,79470,40.81,-83.13
44850,OH,1000000,70241,79470,41.04,-82.68
44851,OH,72859,82683,79470,41.07,-82.4
44853,OH,82083,68398,79470,41.05,-83.31
44854,OH,60298,70241,79470,40.96,-82.85
44855,OH,59118,70241,79470,41.1,-82.61
44856,OH,38417,61498,79470,40.79,-82.86
44857,OH,73111,74900,79470,41.24,-82.61
44859,OH,69398,82683,79470,41.02,-82.35
44860,OH,1000000,61498,79470,40.88,-83.09
44861,OH,39293,68398,79470,41.24,-83.15
44862,OH,1000000,68184,79470,40.76,-82.6
44864,OH,58581,71410,79470,40.65,-82.31
44865,OH,70906,70241,79470,40.99,-82.66
44866,OH,76304,71410,79470,40.94,-82.21
44867,OH,70938,68398,79470,41.12,-83.01
44870,OH,64491,74900,79470,41.45,-82.71
44871,OH,1000000,74900,79470,41.45,-82.71
44874,OH,77625,71410,79470,40.97,-82.37
44875,OH,83500,68184,79470,40.88,-82.66
44878,OH,74522,71410,79470,40.96,-82.6
44880,OH,85546,82683,79470,41.03,-82.21
44881,OH,101719,61498,79470,40.87,-82.88
44882,OH,74614,68398,79470,40.95,-83.17
44883,OH,66348,68398,79470,41.11,-83.17
44887,OH,76964,61498,79470,40.92,-82.79
44888,OH,1000000,70241,79470,41.05,-82.72
44889,OH,79179,82683,79470,41.25,-82.4
44890,OH,64375,70241,79470,41.05,-82.72
44901,OH,1000000,68184,79470,40.79,-82.51
44902,OH,30389,68184,79470,40.76,-82.52
44903,OH,74981,89663,79470,40.78,-82.53
44904,OH,86370,89663,79470,40.66,-82.61
44905,OH,60865,68184,79470,40.78,-82.47
44906,OH,63627,68184,79470,40.77,-82.57
44907,OH,50625,68184,79470,40.73,-82.52
45001,OH,48750,90079,79470,39.14,-84.71
45002,OH,103852,90079,79470,39.16,-84.74
45003,OH,73750,90079,79470,39.56,-84.81
45004,OH,1000000,90079,79470,39.52,-84.64
45005,OH,83875,90079,79470,39.55,-84.3
45011,OH,96640,90079,79470,39.39,-84.56
45012,OH,1000000,90079,79470,39.39,-84.56
45013,OH,75000,90079,79470,39.41,-84.65
45014,OH,79032,90079,79470,39.33,-84.54
45015,OH,52681,90079,79470,39.38,-84.57
45018,OH,1000000,90079,79470,39.33,-84.54
45030,OH,100596,90079,79470,39.24,-84.79
45032,OH,68333,90079,79470,39.5,-84.01
45033,OH,71875,90079,79470,39.18,-84.76
45034,OH,143750,90079,79470,39.36,-84.24
45036,OH,103411,90079,79470,39.42,-84.21
45039,OH,110384,90079,79470,39.31,-84.22
45040,OH,133484,90079,79470,39.36,-84.3
45041,OH,0,90079,79470,39.21,-84.7
45042,OH,76042,90079,79470,39.56,-84.42
45044,OH,86508,90079,79470,39.5,-84.37
45050,OH,106066,90079,79470,39.44,-84.34
45051,OH,1000000,90079,79470,39.1,-84.65
45052,OH,112898,90079,79470,39.14,-84.78
45053,OH,108125,90079,79470,39.36,-84.78
45054,OH,121500,90079,79470,39.41,-84.04
45055,OH,70347,90079,79470,39.41,-84.46
45056,OH,97875,90079,79470,39.5,-84.74
45061,OH,1000000,90079,79470,39.31,-84.65
45062,OH,57292,90079,79470,39.48,-84.55
45063,OH,1000000,90079,79470,39.34,-84.76
45064,OH,102582,90079,79470,39.56,-84.63
45065,OH,117075,90079,79470,39.37,-84.21
45066,OH,123377,90079,79470,39.56,-84.23
45067,OH,88203,90079,79470,39.47,-84.46
45068,OH,105750,90079,79470,39.53,-84.08
45069,OH,120715,90079,79470,39.33,-84.4
45070,OH,1000000,null,79470,39.59,-84.56
45071,OH,1000000,90079,79470,39.33,-84.4
45101,OH,47350,90079,79470,38.66,-83.76
45102,OH,79088,90079,79470,39.02,-84.21
45103,OH,89100,90079,79470,39.07,-84.18
45105,OH,1000000,null,79470,38.75,-83.62
45106,OH,71591,90079,79470,38.96,-84.08
45107,OH,74375,90079,79470,39.28,-83.97
45111,OH,86250,90079,79470,39.2,-84.29
45112,OH,118750,90079,79470,38.79,-84.14
45113,OH,91979,90079,79470,39.4,-83.98
45114,OH,1000000,null,79470,39.36,-83.84
45115,OH,39583,90079,79470,38.82,-83.7
45118,OH,83983,90079,79470,39.18,-83.93
45119,OH,1000000,90079,79470,38.87,-83.97
45120,OH,63723,90079,79470,38.83,-84.09
45121,OH,67574,90079,79470,38.86,-83.9
45122,OH,76547,90079,79470,39.22,-84.09
45123,OH,70788,69474,79470,39.35,-83.38
45130,OH,73750,90079,79470,38.91,-83.98
45131,OH,44219,90079,79470,38.79,-83.97
45132,OH,64063,null,79470,39.34,-83.6
45133,OH,58422,90079,79470,39.2,-83.61
45135,OH,79541,73223,79470,39.34,-83.55
45140,OH,121811,90079,79470,39.26,-84.27
45142,OH,66221,90079,79470,39.24,-83.78
45144,OH,41908,90079,79470,38.69,-83.6
45146,OH,87917,73223,79470,39.32,-83.81
45147,OH,1000000,90079,79470,39.21,-84.28
45148,OH,60929,90079,79470,39.29,-83.89
45150,OH,99112,90079,79470,39.17,-84.28
45152,OH,94155,90079,79470,39.34,-84.12
45153,OH,94722,90079,79470,38.86,-84.22
45154,OH,82697,90079,79470,39.02,-83.92
45155,OH,66250,null,79470,39.04,-83.75
45156,OH,41250,90079,79470,38.81,-84.21
45157,OH,101279,90079,79470,38.96,-84.27
45158,OH,63750,90079,79470,39.18,-84.09
45159,OH,78357,73223,79470,39.32,-83.69
45160,OH,1000000,90079,79470,39.12,-84.14
45162,OH,96000,90079,79470,39.27,-84.1
45164,OH,51250,73223,79470,39.55,-83.78
45166,OH,1000000,73223,79470,39.48,-83.69
45167,OH,61250,90079,79470,38.73,-83.84
45168,OH,65982,90079,79470,38.86,-83.78
45169,OH,61507,80365,79470,39.49,-83.63
45171,OH,63585,90079,79470,39,-83.8
45172,OH,93438,null,79470,39.07,-83.39
45174,OH,191250,90079,79470,39.16,-84.31
45176,OH,66266,90079,79470,39.05,-84.05
45177,OH,73901,73223,79470,39.44,-83.83
45201,OH,1000000,90079,79470,39.13,-84.52
45202,OH,110104,90079,79470,39.11,-84.5
45203,OH,19454,90079,79470,39.11,-84.53
45204,OH,44071,90079,79470,39.11,-84.55
45205,OH,38278,90079,79470,39.11,-84.58
45206,OH,88531,90079,79470,39.13,-84.48
45207,OH,54432,90079,79470,39.14,-84.47
45208,OH,175826,90079,79470,39.13,-84.43
45209,OH,130479,90079,79470,39.15,-84.43
45211,OH,56948,90079,79470,39.16,-84.6
45212,OH,71777,90079,79470,39.16,-84.45
45213,OH,93262,90079,79470,39.18,-84.42
45214,OH,35174,90079,79470,39.12,-84.53
45215,OH,84282,90079,79470,39.24,-84.46
45216,OH,47445,90079,79470,39.2,-84.48
45217,OH,94244,90079,79470,39.17,-84.5
45218,OH,81321,90079,79470,39.26,-84.52
45219,OH,47569,90079,79470,39.13,-84.51
45220,OH,100329,90079,79470,39.15,-84.52
45221,OH,1000000,null,79470,39.13,-84.52
45222,OH,1000000,90079,79470,39.13,-84.52
45223,OH,55330,90079,79470,39.17,-84.55
45224,OH,63594,90079,79470,39.2,-84.53
45225,OH,17724,90079,79470,39.14,-84.55
45226,OH,147313,90079,79470,39.11,-84.42
45227,OH,77007,90079,79470,39.15,-84.39
45229,OH,61397,90079,79470,39.15,-84.49
45230,OH,98523,90079,79470,39.07,-84.39
45231,OH,70568,90079,79470,39.25,-84.53
45232,OH,23922,90079,79470,39.19,-84.51
45233,OH,110082,90079,79470,39.12,-84.67
45234,OH,1000000,90079,79470,39.13,-84.52
45235,OH,1000000,90079,79470,39.13,-84.52
45236,OH,99617,90079,79470,39.21,-84.4
45237,OH,52975,90079,79470,39.19,-84.45
45238,OH,71925,90079,79470,39.11,-84.61
45239,OH,70443,90079,79470,39.2,-84.58
45240,OH,72948,90079,79470,39.28,-84.53
45241,OH,114133,90079,79470,39.28,-84.4
45242,OH,125213,90079,79470,39.24,-84.35
45243,OH,174821,90079,79470,39.19,-84.34
45244,OH,129394,90079,79470,39.11,-84.33
45245,OH,87713,90079,79470,39.06,-84.28
45246,OH,77226,90079,79470,39.29,-84.47
45247,OH,103318,90079,79470,39.22,-84.66
